Store_Price,CPI_Price,Other,Unknown,Farmer_Market,Gas,Grocery,Convenience,$,$$,$$$,$$$,$$$$$,Unknown
0.8,1.308,0,0,0,0,1,0,1,0,0,0,0,0
1.5,1.308,0,0,0,0,1,0,0,1,0,0,0,0
2.49,1.308,0,0,0,0,1,0,0,0,1,0,0,0
2.97,1.308,0,0,0,0,0,1,0,1,0,0,0,0
3.57,1.308,0,0,0,0,0,1,0,1,0,0,0,0
2.37,1.308,1,0,0,0,0,0,0,1,0,0,0,0
0.59,0.576,0,0,0,0,1,0,1,0,0,0,0,0
0.75,0.576,0,0,0,0,1,0,0,1,0,0,0,0
0.57,0.576,0,0,0,0,1,0,0,0,1,0,0,0
1.5,0.576,0,0,0,0,0,1,0,1,0,0,0,0
3,0.576,0,0,0,0,0,1,0,1,0,0,0,0
0.87,0.576,1,0,0,0,0,0,0,1,0,0,0,0
4.99,2.617,0,0,0,0,1,0,1,0,0,0,0,0
3.99,2.617,0,0,0,0,1,0,0,1,0,0,0,0
5,2.617,0,0,0,0,1,0,0,0,1,0,0,0
2.99,2.617,0,0,0,0,0,1,0,1,0,0,0,0
3.99,2.617,0,0,0,0,0,1,0,1,0,0,0,0
2.79,2.617,1,0,0,0,0,0,0,1,0,0,0,0
6.804,4.353,0,0,0,0,1,0,1,0,0,0,0,0
4.05,4.353,0,0,0,0,1,0,0,1,0,0,0,0
5.104,4.353,0,0,0,0,1,0,0,0,1,0,0,0
4.784,4.353,0,0,0,0,0,1,0,1,0,0,0,0
6.4,4.353,0,0,0,0,0,1,0,1,0,0,0,0
5.264,4.353,1,0,0,0,0,0,0,1,0,0,0,0
